Малятко TV.

Понедiлок, 15 квiтня
0.25,1.30,2.25,3.30,4.25,5.30 Дитяча скарбничка.
0.40,1.45,2.40,3.45,4.40,5.45 Збiрник пiсень.
1.00,3.00,5.00 Д/с "Логос".
6.00 М/с "Фархат - принц пустелi".
9.00 М/с "Нiклас, хлопчик з Фландрiї".
12.00 М/с "Рубi".
13.00 М/с "Зоосвiт".
14.30 М/с "Каролiна та її друзi".
16.30 М/с "Шанмао та Квiточка Джиммi".
18.30 М/с "Борцi виру".
21.00 М/с "Покахонтас".

