Фенiкс + Кiно.

Понедiлок, 15 квiтня
22.00 Т/с "Євлампiя Романова: слiдство веде дилетант". Фiльм 3, 4 с. (12+).
23.00 Т/с "Шахраї", 5 с. (12+).
0.00 Т/с "Територiя краси", 32 с. (16+).
1.00 Т/с "Територiя краси", 33 с. (16+).
2.00 Т/с "Кохання як кохання", 111 с. (12+).
3.00 Т/с "Кохання як кохання", 112 с. (12+).
4.00 Т/с "Близнюки", 15 с. (16+).
5.00 Т/с "Сiм дружин одного холостяка", 5 с. (16+).
6.00 Т/с "Клоунiв не вбивають", 1 с. (16+).

Субота, 20 квiтня
7.00 Т/с "Шахраї", 5 с. (12+).
8.00 Т/с "Територiя краси", 32 с. (16+).
9.00 Т/с "Територiя краси", 33 с. (16+).
10.00 Т/с "Кохання як кохання", 111 с. (12+).
11.00 Т/с "Кохання як кохання", 112 с. (12+).
12.00 Т/с "Близнюки", 15 с. (16+).
13.00 Т/с "Сiм дружин одного холостяка", 5 с. (16+).
14.00 Т/с "Клоунiв не вбивають", 1 с. (16+).
15.00 Т/с "Шахраї", 5 с. (12+).
16.00 Т/с "Територiя краси", 32 с. (16+).
17.00 Т/с "Територiя краси", 33 с. (16+).
18.00 Т/с "Кохання як кохання", 111 с. (12+).
19.00 Т/с "Кохання як кохання", 112 с. (12+).
20.00 Т/с "Близнюки", 15 с. (16+).
21.00 Т/с "Сiм дружин одного холостяка", 5 с. (16+).
22.00 Т/с "Клоунiв не вбивають", 1 с. (16+).
23.00 Т/с "Шахраї", 6 с. (12+).
0.00 Т/с "Територiя краси", 33 с. (16+).
1.00 Т/с "Територiя краси", 34 с. (16+).
2.00 Т/с "Кохання як кохання", 112 с. (12+).
3.00 Т/с "Кохання як кохання", 113 с. (12+).
4.00 Т/с "Близнюки", 16 с. (16+).
5.00 Т/с "Сiм дружин одного холостяка", 6 с. (16+).
6.00 Т/с "Клоунiв не вбивають", 2 с. (16+).

Недiля, 21 квiтня
7.00 Т/с "Шахраї", 6 с. (12+).
8.00 Т/с "Територiя краси", 33 с. (16+).
9.00 Т/с "Територiя краси", 34 с. (16+).
10.00 Т/с "Кохання як кохання", 112 с. (12+).
11.00 Т/с "Кохання як кохання", 113 с. (12+).
12.00 Т/с "Близнюки", 16 с. (16+).
13.00 Т/с "Сiм дружин одного холостяка", 6 с. (16+).
14.00 Т/с "Клоунiв не вбивають", 2 с. (16+).
15.00 Т/с "Шахраї", 6 с. (12+).
16.00 Т/с "Територiя краси", 33 с. (16+).
17.00 Т/с "Територiя краси", 34 с. (16+).
18.00 Т/с "Кохання як кохання", 112 с. (12+).
19.00 Т/с "Кохання як кохання", 113 с. (12+).
20.00 Т/с "Близнюки", 16 с. (16+).
21.00 Т/с "Сiм дружин одного холостяка", 6 с. (16+).
22.00 Т/с "Клоунiв не вбивають", 2 с. (16+).
23.00 Т/с "Шахраї", 7 с. (12+).
0.00 Т/с "Територiя краси", 34 с. (16+).
1.00 Т/с "Територiя краси", 35 с. (16+).
2.00 Т/с "Кохання як кохання", 113 с. (12+).
3.00 Т/с "Кохання як кохання", 114 с. (12+).
4.00 Т/с "Близнюки", 17 с. (16+).
5.00 Т/с "Сiм дружин одного холостяка", 7 с. (16+).
6.00 Т/с "Клоунiв не вбивають", 3 с. (16+).



