CBS Drama.

Понедiлок, 15 квiтня
19.55 Т/с "Нова Сутiнкова Зона", 24 с. (16+).
20.20 Т/с "Таємницi отця Даулiнга", 14 с. (16+).
21.10 Т/с "Династiя", 11 с. (16+).
22.00 Т/с "4400", 4 с. (16+).
22.50 Т/с "Твiн Пiкс", 1 с. (16+).
0.35 Т/с "4400", 4 с. (16+).
1.30 Т/с "Твiн Пiкс", 1 с. (16+).
3.20 Т/с "Метлок", 14 с. (16+).
4.15 Т/с "Прожити життя", 68 с. (16+).
5.10 Т/с "Моя Попелюшка", 98 с. (16+).
6.05 Т/с "Нiколи не пiзно?", 99 с. (16+).

П`ятниця, 19 квiтня
7.00 Т/с "Плата не по заслугах", 138 с. (16+).
7.50 Т/с "Парадокси любовi", 100 с. (16+).
8.40 Т/с "Димок зi ствола", 19 с. (16+).
9.30 Т/с "Династiя", 11 с. (16+).
10.20 Т/с "Метлок", 14 с. (16+).
11.10 Т/с "Таємницi отця Даулiнга", 14 с. (16+).
12.00 Т/с "Гаваї 5-0", 1 с. (16+).
12.50 Т/с "Димок зi ствола", 19 с. (16+).
13.40 Т/с "Нова Сутiнкова Зона", 25 с. (16+).
14.05 Т/с "Нова Сутiнкова Зона", 26 с. (16+).
14.30 Т/с "Династiя", 11 с. (16+).
15.20 Т/с "Таємницi отця Даулiнга", 14 с. (16+).
16.10 Т/с "Метлок", 16 с. (16+).
17.00 Т/с "Гаваї 5-0", 2 с. (16+).
17.50 Т/с "Димок зi ствола", 20 с. (16+).
18.40 Т/с "4400", 4 с. (16+).
19.30 Т/с "Нова Сутiнкова Зона", 25 с. (16+).
19.55 Т/с "Нова Сутiнкова Зона", 26 с. (16+).
20.20 Т/с "Таємницi отця Даулiнга", 15 с. (16+).
21.10 Т/с "Династiя", 12 с. (16+).
22.00 Т/с "4400", 5 с. (16+).
22.50 Т/с "Твiн Пiкс", 2 с. (16+).
23.40 Т/с "Нова Сутiнкова Зона", 27 с. (16+).
0.10 Т/с "Нова Сутiнкова Зона", 28 с. (16+).
0.35 Т/с "4400", 5 с. (16+).
1.30 Т/с "Твiн Пiкс", 2 с. (16+).
2.25 Т/с "Гаваї 5-0", 2 с. (16+).
3.20 Т/с "Метлок", 16 с. (16+).
4.15 Т/с "Прожити життя", 69 с. (16+).
5.10 Т/с "Моя Попелюшка", 99 с. (16+).
6.05 Т/с "Нiколи не пiзно?", 100 с. (16+).

Субота, 20 квiтня
7.00 Т/с "Плата не по заслугах", 139 с. (16+).
7.50 Т/с "Димок зi ствола", 16 с. (16+).
8.40 Т/с "Димок зi ствола", 17 с. (16+).
9.30 Т/с "Димок зi ствола", 18 с. (16+).
10.20 Т/с "Димок зi ствола", 19 с. (16+).
11.10 Т/с "Димок зi ствола", 20 с. (16+).
12.00 Т/с "Гаваї 5-0", 22 с. (16+).
12.50 Т/с "Гаваї 5-0", 23 с. (16+).
