Много ТВ.

Понедельник, 15 апреля
23.00 Т/с "Дом у озера", 5 с. (16+).
0.00 Т/с "Адмирал", 5 с. "Счастье". (16+).
1.00 Т/с "Храброе сердце", 28 с. (16+).
2.00 Т/с "Храброе сердце", 29 с. (16+).
3.00 Т/с "Любовницы 2", 4 с. (16+).
4.00 Т/с "Торчвуд. День чуда 4", 6 с. (18+).
4.50 "Хроники русского сериала". "Глухарь". (16+).

Суббота, 20 апреля
5.20 Т/с "Адмирал", 1-5 с. (16+).
10.00 Т/с "Храброе сердце", 20-24 с. (16+).
14.20 Т/с "Любовницы", 6 с. (16+).
15.20 Т/с "Любовницы 2", 1-4 с. (16+).
19.00 Т/с "Торчвуд. День чуда 4", 3-6 с. (18+).
22.35 Т/с "Дом у озера", 1-5 с. (16+).
2.50 Т/с "Торчвуд. День чуда 4", 3-5 с. (18+).

Воскресенье, 21 апреля
5.30 Т/с "Любовницы", 6 с. (16+).
6.30 Т/с "Любовницы 2", 1-4 с. (16+).
10.00 Т/с "Храброе сердце", 25-29 с. (16+).
14.20 Т/с "Торчвуд. День чуда 4", 3-6 с. (18+).
18.00 Т/с "Адмирал", 1-5 с. (16+).
22.40 Т/с "Дом у озера", 1-5 с. (16+).
2.55 Т/с "Любовницы 2", 1 и 2 с. (16+).
4.40 "Крупным планом". "Андрей Мерзликин". (16+).


